ply
format ascii 1.0
element vertex 4554
property float x
property float y
property float z
end_header
-6.28001741138809e-06 -5.33676554441146e-06 3.19355877524667e-07 
-7.01369267613771e-07 -4.05318228033587e-06 2.42866657964566e-07 
0.028214509164545 -0.134502677297934 0.00806027034731929 
-8.80383407466717e-06 -1.00404805488646e-05 6.04925934224465e-07 
-2.99677577344232e-06 -3.63741911472964e-06 2.21080356965387e-07 
-1.54610424874362e-07 -2.86448579166914e-06 1.74053370136296e-07 
-0.117430501152841 -0.136344659997883 0.0174601957015941 
-1.19114084002067e-05 -1.2991515672296e-05 7.94162242277729e-07 
-2.4295431816682e-06 -2.71353221733459e-06 1.65673523234306e-07 
-1.56012809544653e-06 -3.39336130767431e-06 2.09536174272742e-07 
-8.80169253375694e-07 -4.02556906600761e-06 2.47650089104488e-07 
-3.67939527092548e-07 -2.56224939529282e-06 1.57749794081821e-07 
-4.9248028748497e-06 -4.28512224853889e-06 2.65430026416377e-07 
-7.54653302833786e-05 -7.67720430757028e-05 4.81502741285333e-06 
0.623379846313134 1.68507998304925 0.195194574507867 
-6.86974665500095e-06 -5.34954889809177e-06 3.41586876491606e-07 
3.75377099143354e-08 -1.76310647826759e-06 1.12471990045739e-07 
-6.36760525977454 -5.25023140533376 0.32131589584012 
-3.51718547474971e-06 -3.81976673693771e-06 2.45393482733982e-07 
-2.82227395885335e-07 -2.19711266398939e-06 1.41147233863445e-07 
-5.24337014043566e-06 -4.35779737760896e-06 2.82563304642255e-07 
0.764516572947059 0.747080897644744 0.0916958499404357 
-2.62746446160577e-05 -1.98343952340184e-05 1.32114538623195e-06 
-1.1394014223655e-08 -1.59259912722466e-06 1.05646989597212e-07 
3.47504653428449 1.96813831426428 0.357276760049434 
-0.000133729225759408 -0.00013262050319677 8.91049246123948e-06 
-18.1283000787271 -13.1536816275296 0.886193560934825 
-0.0208950357792098 0.146600354869657 0.0212497545918565 
-0.00622033560741284 0.075560774692389 0.0116073805932195 
-1.86291071290331e-07 -1.36295488608318e-06 9.30935896136387e-08 
-8.1886646184671e-08 7.13935050715446e-07 1.23533252789135e-07 
-8.6417743902158e-07 -6.93677451735459e-06 4.85556637744386e-07 
-1.84864219026174e-07 9.72474149728912e-07 1.84563629459534e-07 
-0.108312775019089 -0.0986332561091667 0.0069068230586188 
0.00173341454230529 -0.00975252372008525 0.000682172683377923 
3.25336158984829 1.09159777514968 0.30331556866549 
3.82323195611863 1.22895939601279 0.34988405707605 
-9.72094102604821 -6.60560482495238 0.473271576388172 
-1.76615251031843e-05 -1.12608025150806e-05 8.73389593736498e-07 
-433.289159430747 -272.14734242779 21.2194813259055 
-1.12648810462196e-05 -7.23155372134441e-06 5.6638254252891e-07 
-1.08571825369639e-05 -9.11151635907996e-06 7.29098268721239e-07 
-47.8847712194113 -28.7435692903398 2.30575378334022 
-1.46196727039256e-05 -8.94311332698588e-06 7.18997143132002e-07 
0.189362003612089 -0.160959071591979 0.0209777429598325 
-58.6972340586612 -37.0263873658104 2.94035115588994 
-9.78979435103593e-06 -6.27461737053e-06 5.21392839916036e-07 
1.48582285300565 0.249856867812894 0.160510027043303 
0.0714666389509979 -0.120233095303172 0.010124768270574 
-0.0431913036250267 -0.0339322367912371 0.00290103827589614 
-1.37001329951639e-06 -1.63583176898236e-06 1.40119896279093e-07 
-2.06435662103051 -1.19105147780176 0.103069176357942 
-6.74492411072102e-06 -5.31005493017325e-06 4.59871802070592e-07 
-2.17596295648557 -1.29093164973732 0.112424126043271 
-1.04331346429801e-05 -7.57918888563687e-06 6.61288688847513e-07 
0.0807152946548294 -0.0940315914912509 0.00818847547889705 
2.78496303042415 0.276525474049194 0.282257489523124 
-0.869901299864438 -0.525176102233329 0.0466854822835075 
-5.0958403761223e-06 -3.86287546198674e-06 3.58305750954862e-07 
-5.8989753043877e-06 -4.22530300759222e-06 3.96198993138431e-07 
-4.74882747193494e-06 -3.45244719480116e-06 3.23781206816744e-07 
-4.05145107451991e-06 -3.17524570157312e-06 2.96486951297106e-07 
-3.61165222574902e-06 -2.92724013047944e-06 2.77803754450682e-07 
-0.0113013962001697 -0.00692129111441378 0.00066887407091956 
-6.4228383793308e-06 -4.05429964046639e-06 3.93213967555188e-07 
-5.52375861064594e-06 -3.75005530211877e-06 3.62876730681259e-07 
-1.28385991233827 -1.01495053813405 0.102904892721436 
-2.91322171404882e-06 -2.05616131296539e-06 2.03251437507764e-07 
-3.78198427421164e-06 -2.9360148332641e-06 2.90905602743145e-07 
0.516718693109963 -0.705300782262091 0.0811881995478225 
-1.73062508162513 -0.971459067834585 0.0969338267091983 
-0.0637805917312179 -0.0425631323117649 0.00425124418331497 
-0.110612865464441 -0.0723284711766584 0.00727410030171774 
-0.822414961446457 -0.0801995021904251 0.0492428334153568 
-4.98974188385757e-06 -3.83169266809132e-06 3.93865356572249e-07 
2.95994821206669 -1.27261836912664 0.138557020058387 
-0.811088908454561 -0.0780828033686052 0.0460151449112184 
-2.25093826244057 -1.50894790204307 0.171315903134809 
-6.25169728640131e-05 -4.11319268313226e-05 4.26213665919789e-06 
-2.79122371249085e-06 -1.81877389110162e-06 1.91784754392871e-07 
-1.44429656199244 -0.850975225184217 0.109076814543223 
-0.049679408665884 -0.035099891058381 0.00370167943572393 
96.15784725107 -0.154048666430804 6.08913082115189 
-3.77303870025956e-06 -4.72432696742481e-06 5.06796378148458e-07 
